Name,Template,Reference
,video/x-msvideo,
,drawing/x-dwf,
,application/x-gtar,
,application/x-gzip,
,application/x-compress,
,application/x-zip-compressed,
,application/x-7z-compressed,
,text/h323,
,application/msaccess,
,application/internet-property-stream,
,audio/x-aiff,
,audio/aiff,
,application/x-ms-application,
,image/x-jg,
,video/x-ms-asf,
,application/olescript,
,application/x-bcpio,
,application/vnd.ms-office.calx,
,application/vnd.ms-pki.seccat,
,application/x-cdf,
,application/x-java-applet,
,application/x-msclip,
,image/x-cmx,
,image/cis-cod,
,application/x-cpio,
,application/x-mscardfile,
,application/x-csh,
,application/x-director,
,application/x-msdownload,
,text/dlm,
,application/x-dvi,
,text/x-setext,
,application/envoy,
,application/vnd.fdf,
,application/fractals,
,x-world/x-vrml,
,video/x-flv,
,application/x-hdf,
,text/x-hdml,
,application/x-oleobject,
,application/winhlp,
,application/hta,
,text/x-component,
,text/webviewhtml,
,image/x-icon,
,application/x-iphone,
,application/x-internet-signup,
,video/x-ivf,
,application/liquidmotion,
,image/pjpeg,
,application/x-javascript,
,text/jscript,
,application/x-latex,
,application/x-ms-reader,
,video/x-la-asf,
,application/x-msmediaview,
,audio/x-mpegurl,
,application/x-troff-man,
,application/x-ms-manifest,
,application/x-msaccess,
,application/x-troff-me,
,audio/mid,
,application/x-smaf,
,application/x-msmoney,
,video/x-sgi-movie,
,application/x-troff-ms,
,application/x-miva-compiled,
,application/x-netcdf,
,text/x-ms-odc,
,application/oleobject,
,application/onenote,
,application/opensearchdescription+xml,
,application/x-pkcs12,
,application/x-pkcs7-certificates,
,application/x-pkcs7-certreqresp,
,image/x-portable-bitmap,
,image/x-portable-graymap,
,application/vnd.ms-pki.pko,
,application/x-perfmon,
,image/x-portable-anymap,
,image/x-portable-pixmap,
,application/pics-rules,
,application/x-mspublisher,
,application/x-quicktimeplayer,
,audio/x-pn-realaudio,
,image/x-cmu-raster,
,image/vnd.rn-realflash,
,image/x-rgb,
,application/vnd.rn-realmedia,
,application/x-troff,
,audio/x-pn-realaudio-plugin,
,application/x-msschedule,
,text/scriptlet,
,application/x-sh,
,application/x-shar,
,application/x-stuffit,
,audio/x-smd,
,application/futuresplash,
,application/x-wais-source,
,application/streamingmedia,
,application/vnd.ms-pki.certstore,
,application/vnd.ms-pki.stl,
,application/x-sv4cpio,
,application/x-sv4crc,
,application/x-shockwave-flash,
,application/x-tar,
,application/x-tcl,
,application/x-tex,
,application/x-texinfo,
,application/x-compressed,
,application/x-msterminal,
,text/iuls,
,application/x-ustar,
,text/vbscript,
,text/x-vcard,
,application/vnd.ms-visio.viewer,
,application/x-ms-vsto,
,audio/wav,
,audio/x-ms-wax,
,video/x-ms-wm,
,audio/x-ms-wma,
,application/x-ms-wmd,
,application/x-msmetafile,
,video/x-ms-wmp,
,video/x-ms-wmv,
,video/x-ms-wmx,
,application/x-ms-wmz,
,application/x-mswrite,
,video/x-ms-wvx,
,application/directx,
,application/xaml+xml,
,application/x-silverlight-app,
,application/x-ms-xbap,
,image/x-xbitmap,
,image/x-xpixmap,
,image/x-xwindowdump,
,audio/x-m4a,
